-0.3721,2.504,-0.8159,-1.5806,-0.4884,0.7994,-0.6088,-0.9728,-0.2398,0.2878,0.1987,-1.2173,2.0816,-0.3661,-0.1307,-2.5373,-1.0208,0.3939,-2.4537,-1.0419,1.0
0.936,-0.3914,1.5204,0.8353,0.6797,1.2295,-1.2975,1.8372,0.6421,1.424,-0.693,1.2768,1.2609,-0.4557,-0.096,-0.3089,0.1962,-0.1672,0.0042,1.1103,0.0
-0.3016,-0.7411,-0.7756,0.3412,0.8052,0.5727,0.3381,1.7541,0.4921,-0.7692,0.4364,1.0952,-0.7587,1.1544,-0.3349,1.3775,1.2395,2.0686,1.0433,1.236,0.0
0.2156,-0.5046,0.3543,0.0347,1.7413,-0.7103,-1.0864,0.7888,-0.5884,-0.7937,0.3142,0.1803,2.8505,-0.765,-1.0245,-0.197,0.8544,-0.3504,0.1166,-0.7968,0.0
0.5066,-0.3098,0.277,-0.1225,-0.5393,1.0167,-0.6584,0.8579,0.9153,-1.4443,1.1426,-1.8478,-0.4502,2.8884,0.0815,0.1785,1.2097,-0.0393,-0.1075,-0.3116,0.0
0.7527,-0.1342,-2.1371,-0.8224,-0.2825,-0.8968,-0.3924,0.1887,-1.1981,1.444,-1.3519,-1.1946,-0.9163,-0.4219,0.2415,-2.0964,0.4967,-2.5931,-0.9374,0.8144,1.0
0.8232,-0.4234,0.9165,3.0401,0.6697,1.8041,1.6773,1.414,0.2742,0.1323,0.1435,-1.5626,-0.1991,-0.1445,-0.1574,-0.9278,-0.9539,0.7253,1.8982,-0.3237,0.0
0.25,-1.589,-0.3449,0.5427,-1.8992,-0.4347,-0.7327,-1.336,0.4839,-1.4928,0.8662,0.2832,-1.2844,1.4975,-2.2136,-1.9678,0.4558,-0.5304,0.0748,0.4782,1.0
0.5325,-0.5591,0.0289,1.5809,0.6245,0.0099,0.0282,1.4818,-0.5478,0.4636,-0.3868,-0.2014,1.1063,0.9592,2.0044,2.821,2.2035,-0.0377,1.4311,-0.1509,0.0
1.89,0.679,-1.5161,-0.4421,1.7838,0.0191,-0.2844,1.0385,2.1083,0.3006,0.2003,-0.1695,-0.7778,2.8942,1.7263,0.4799,1.2506,1.569,-0.0731,1.6898,0.0
0.6675,-0.0134,0.1507,1.0023,-0.8735,-3.3901,-0.0384,-0.2416,0.851,0.7796,-0.3802,1.9818,1.4809,-0.2738,-0.9439,0.0054,0.5729,-0.8691,1.4647,1.2076,0.0
